,Place Name,Types,vicinity,star rating,Ratings,time,duration
71,Indianapolis Canal Walk,park,"Canal Walk, Indianapolis",4.7,2288,9:00 AM,1 hour
25,Quills Coffee,cafe,"941 N Meridian St, Indianapolis",4.6,544,10:00 AM,30 Minutes
460,Long's Bakery,bakery,"1453 N Tremont St, Indianapolis",4.8,6327,10:45 AM,30 Minutes
64,Indiana State Museum,museum,"650 W Washington St, Indianapolis",4.6,3338,11:30 AM,90 Minutes
112,Circle Centre Mall,shopping_mall,"49 W Maryland St, Indianapolis",4.1,10067,1:00 PM,3 hours
512,Taco Bell,restaurant,"49 W Maryland St, Indianapolis",3.6,303,4:00 PM,30 Minutes
67,Indiana War Memorial & Museum,tourist_attraction,"55 E Michigan St, Indianapolis",4.7,2371,4:45 PM,1 hour
61,White River State Park,tourist_attraction,"801 W Washington St, Indianapolis",4.7,4463,6:00 PM,1 hour
710,Fogo de Chão Brazilian Steakhouse,restaurant,"117 E Washington St, Indianapolis",4.6,6236,7:00 PM,2 hours
213,Kilroy's Bar & Grill,bar,"201 S Meridian St, Indianapolis",4.3,3291,9:00 PM,Night is still young
